+--------------------------------------+----------------------------------------------------------------------+
|               Package                |                               License                                |
|            jupyter 1.1.1             |                                 BSD                                  |
|         jupyter-client 8.6.3         |                         BSD 3-Clause License                         |
|        jupyter-console 6.6.3         |                         BSD 3-Clause License                         |
|          jupyter-core 5.7.2          |                         BSD 3-Clause License                         |
|        jupyter-events 0.10.0         |                         BSD 3-Clause License                         |
|          jupyter-lsp 2.2.5           |                             BSD-3-Clause                             |
|        jupyter-server 2.14.2         |                         BSD 3-Clause License                         |
|    jupyter-server-terminals 0.5.3    |                         BSD 3-Clause License                         |
|           jupyterlab 4.2.5           |         Copyright (c) 2015-2022 Project Jupyter Contributors         |
|      jupyterlab-pygments 0.3.0       |           Copyright (c) 2015 Project Jupyter Contributors            |
|       jupyterlab-server 2.27.3       |        Copyright (c) 2015-2017, Project Jupyter Contributors         |
|      jupyterlab-widgets 3.0.13       |                             BSD-3-Clause                             |
|           kiwisolver 1.4.5           |                      =========================                       |
|           lazy-loader 0.4            |                         BSD 3-Clause License                         |
|           libmambapy 1.4.9           |                         (Licence not found)                          |
|              lit 16.0.6              |                    Apache-2.0 with LLVM exception                    |
|           llvmlite 0.40.1            |                                 BSD                                  |
|             locket 1.0.0             |                             BSD-2-Clause                             |
|              lxml 5.3.0              |                             BSD-3-Clause                             |
|              lz4 4.3.3               |                         (Licence not found)                          |
|              Mako 1.3.0              |                                 MIT                                  |
|             mamba 1.4.9              |                         (Licence not found)                          |
|         mani-skill 3.0.0b12          |                         (Licence not found)                          |
|            Markdown 3.4.4            | Copyright 2007, 2008 The Python Markdown Project (v. 1.7 and later)  |
|         markdown-it-py 3.0.0         |                         (Licence not found)                          |
|           MarkupSafe 2.1.5           |                             BSD-3-Clause                             |
|           matplotlib 3.8.0           |                                 PSF                                  |
|       matplotlib-inline 0.1.7        |                         BSD 3-Clause License                         |
|          mbstrdecoder 1.1.3          |                             MIT License                              |
|             mdurl 0.1.2              |                         (Licence not found)                          |
|            mediapy 1.1.9             |                         (Licence not found)                          |
|            menuinst 2.1.2            |       (c) 2016 Continuum Analytics, Inc. / http://continuum.io       |
|            mistune 3.0.2             |                             BSD-3-Clause                             |
|           ml-dtypes 0.3.1            |                                                                      |
|          modelscope 1.16.1           |                          Apache License 2.0                          |
|             mplib 0.1.1              |                             MIT License                              |
|             mpmath 1.3.0             |                                 BSD                                  |
|            msgpack 1.0.8             |                              Apache 2.0                              |
|             mujoco 3.1.1             |                          Apache License 2.0                          |
|           mujoco-mjx 3.1.1           |                          Apache License 2.0                          |
|            munkres 1.1.4             |                       Apache Software License                        |
|           nbclient 0.10.0            |                         BSD 3-Clause License                         |
|           nbconvert 7.16.4           |                         BSD 3-Clause License                         |
|           nbformat 5.10.4            |                         BSD 3-Clause License                         |
|          nest-asyncio 1.6.0          |                                 BSD                                  |
|             networkx 3.1             |                         (Licence not found)                          |
|            notebook 7.2.2            |                         BSD 3-Clause License                         |
|         notebook-shim 0.2.4          |                         BSD 3-Clause License                         |
|             numba 0.57.0             |                                 BSD                                  |
|             numpy 1.24.4             |                             BSD-3-Clause                             |
|    nvidia-cublas-cu11 11.10.3.66     |                     NVIDIA Proprietary Software                      |
|     nvidia-cublas-cu12 12.1.3.1      |                     NVIDIA Proprietary Software                      |
|   nvidia-cuda-cupti-cu11 11.7.101    |                     NVIDIA Proprietary Software                      |
|   nvidia-cuda-cupti-cu12 12.1.105    |                     NVIDIA Proprietary Software                      |
|    nvidia-cuda-nvcc-cu12 12.3.103    |                     NVIDIA Proprietary Software                      |
|    nvidia-cuda-nvrtc-cu11 11.7.99    |                     NVIDIA Proprietary Software                      |
|   nvidia-cuda-nvrtc-cu12 12.1.105    |                     NVIDIA Proprietary Software                      |
|   nvidia-cuda-runtime-cu11 11.7.99   |                     NVIDIA Proprietary Software                      |
|  nvidia-cuda-runtime-cu12 12.1.105   |                     NVIDIA Proprietary Software                      |
|      nvidia-cudnn-cu11 8.5.0.96      |                     NVIDIA Proprietary Software                      |
|      nvidia-cudnn-cu12 9.1.0.70      |                     NVIDIA Proprietary Software                      |
|     nvidia-cufft-cu11 10.9.0.58      |                     NVIDIA Proprietary Software                      |
|     nvidia-cufft-cu12 11.0.2.54      |                     NVIDIA Proprietary Software                      |
|    nvidia-curand-cu11 10.2.10.91     |                     NVIDIA Proprietary Software                      |
|    nvidia-curand-cu12 10.3.2.106     |                     NVIDIA Proprietary Software                      |
|    nvidia-cusolver-cu11 11.4.0.1     |                     NVIDIA Proprietary Software                      |
|   nvidia-cusolver-cu12 11.4.5.107    |                     NVIDIA Proprietary Software                      |
|    nvidia-cusparse-cu11 11.7.4.91    |                     NVIDIA Proprietary Software                      |
|   nvidia-cusparse-cu12 12.1.0.106    |                     NVIDIA Proprietary Software                      |
|       nvidia-nccl-cu11 2.14.3        |                     NVIDIA Proprietary Software                      |
|       nvidia-nccl-cu12 2.20.5        |                     NVIDIA Proprietary Software                      |
|    nvidia-nvjitlink-cu12 12.3.101    |                     NVIDIA Proprietary Software                      |
|       nvidia-nvtx-cu11 11.7.91       |                     NVIDIA Proprietary Software                      |
|      nvidia-nvtx-cu12 12.1.105       |                     NVIDIA Proprietary Software                      |
|            oauthlib 3.2.2            |                                 BSD                                  |
|           omegaconf 2.3.0            |                         (Licence not found)                          |
|        opencv-python 4.8.0.76        |                              Apache 2.0                              |
|           opt-einsum 3.3.0           |                                 MIT                                  |
|             optuna 3.4.0             |                             MIT License                              |
|            orjson 3.10.7             |                          Apache-2.0 OR MIT                           |
|           overrides 7.7.0            |                     Apache License, Version 2.0                      |
|            packaging 24.0            |                         (Licence not found)                          |
|             pandas 1.5.3             |                             BSD-3-Clause                             |
|         pandocfilters 1.5.1          |                             BSD-3-Clause                             |
|             parso 0.8.4              |                                 MIT                                  |
|             partd 1.4.2              |                                 BSD                                  |
|          pathvalidate 3.2.0          |                             MIT License                              |
|             patsy 0.5.6              |                             2-clause BSD                             |
|            pexpect 4.9.0             |                             ISC license                              |
|             Pillow 9.4.0             |                                 HPND                                 |
|               pip 24.0               |                                 MIT                                  |
|          platformdirs 4.2.0          |                         (Licence not found)                          |
|             pluggy 1.4.0             |                                 MIT                                  |
|               ply 3.11               |                                 BSD                                  |
|             pooch 1.8.2              |                             BSD-3-Clause                             |
